23 -> Pair{first=-1, second=-1}
4 -> Pair{first=-1, second=-1}
25 -> Pair{first=-1, second=-1}
0 -> Pair{first=1, second=0}
8 -> Pair{first=-1, second=-1}
25 -> Pair{first=-1, second=-1}
0 -> Pair{first=2, second=0}
8 -> Pair{first=-1, second=-1}
25 -> Pair{first=-1, second=-1}
0 -> Pair{first=3, second=0}
8 -> Pair{first=-1, second=-1}
34 -> Pair{first=-1, second=-1}
6 -> Pair{first=-1, second=-1}
0 -> Pair{first=1, second=0}
7 -> Pair{first=-1, second=-1}
8 -> Pair{first=-1, second=-1}
34 -> Pair{first=-1, second=-1}
6 -> Pair{first=-1, second=-1}
0 -> Pair{first=2, second=0}
7 -> Pair{first=-1, second=-1}
8 -> Pair{first=-1, second=-1}
34 -> Pair{first=-1, second=-1}
6 -> Pair{first=-1, second=-1}
0 -> Pair{first=3, second=0}
7 -> Pair{first=-1, second=-1}
8 -> Pair{first=-1, second=-1}
25 -> Pair{first=-1, second=-1}
0 -> Pair{first=0, second=0}
8 -> Pair{first=-1, second=-1}
0 -> Pair{first=0, second=0}
13 -> Pair{first=-1, second=-1}
1 -> Pair{first=2, second=1}
8 -> Pair{first=-1, second=-1}
31 -> Pair{first=-1, second=-1}
6 -> Pair{first=-1, second=-1}
0 -> Pair{first=0, second=0}
16 -> Pair{first=-1, second=-1}
0 -> Pair{first=2, second=0}
7 -> Pair{first=-1, second=-1}
4 -> Pair{first=-1, second=-1}
0 -> Pair{first=0, second=0}
13 -> Pair{first=-1, second=-1}
0 -> Pair{first=2, second=0}
8 -> Pair{first=-1, second=-1}
5 -> Pair{first=-1, second=-1}
31 -> Pair{first=-1, second=-1}
6 -> Pair{first=-1, second=-1}
0 -> Pair{first=0, second=0}
14 -> Pair{first=-1, second=-1}
0 -> Pair{first=3, second=0}
7 -> Pair{first=-1, second=-1}
4 -> Pair{first=-1, second=-1}
0 -> Pair{first=0, second=0}
13 -> Pair{first=-1, second=-1}
0 -> Pair{first=3, second=0}
8 -> Pair{first=-1, second=-1}
5 -> Pair{first=-1, second=-1}
35 -> Pair{first=-1, second=-1}
6 -> Pair{first=-1, second=-1}
0 -> Pair{first=0, second=0}
7 -> Pair{first=-1, second=-1}
8 -> Pair{first=-1, second=-1}
5 -> Pair{first=-1, second=-1}
24 -> Pair{first=-1, second=-1}
